"gene_symbol"	"organsystem"	"kegg_diseasename"
"ABCA6"	"Cancers"	"Colorectal cancer"
"ABCA7"	"Nervous system diseases"	"Alzheimer disease"
"ABCA8"	"Cancers"	"Colorectal cancer"
"ABCA9"	"Cancers"	"Colorectal cancer"
"ABCB1"	"Cancers"	"Adrenal carcinoma"
"ABCB1"	"Cancers"	"Breast cancer"
"ABCB1"	"Cancers"	"Colorectal cancer"
"ABCB1"	"Cancers"	"Esophageal cancer"
"ABCB1"	"Cancers"	"Hepatocellular carcinoma"
"ABCB1"	"Cancers"	"Neuroblastoma"
"ABCB1"	"Cancers"	"Non-small cell lung cancer"
"ABCB1"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCB1"	"Immune system diseases"	"Ulcerative colitis"
"ABCB1"	"Mental and behavioural disorders"	"Major depressive disorder"
"ABCB1"	"Mental and behavioural disorders"	"Schizophrenia"
"ABCB1"	"Nervous system diseases"	"Parkinson disease"
"ABCB10"	"Cancers"	"Breast cancer"
"ABCB10"	"Cancers"	"Colorectal cancer"
"ABCB11"	"Cancers"	"Colorectal cancer"
"ABCB11"	"Cardiovascular diseases"	"Afibrinogenemia"
"ABCB11"	"Digestive system diseases"	"Intrahepatic cholestasis of pregnancy"
"ABCB11"	"Digestive system diseases"	"Progressive familial intrahepatic cholestasis"
"ABCB4"	"Cancers"	"Colorectal cancer"
"ABCB4"	"Cancers"	"Hepatocellular carcinoma"
"ABCB4"	"Digestive system diseases"	"Intrahepatic cholestasis of pregnancy"
"ABCB4"	"Digestive system diseases"	"Nonalcoholic fatty liver disease"
"ABCB4"	"Digestive system diseases"	"Primary biliary cirrhosis"
"ABCB4"	"Digestive system diseases"	"Primary sclerosing cholangitis"
"ABCB4"	"Digestive system diseases"	"Progressive familial intrahepatic cholestasis"
"ABCB5"	"Cancers"	"Colorectal cancer"
"ABCB5"	"Cancers"	"Melanoma"
"ABCB6"	"Cancers"	"Breast cancer"
"ABCB6"	"Cancers"	"Colorectal cancer"
"ABCB6"	"Reproductive system diseases"	"Polycystic ovary syndrome"
"ABCB7"	"Cardiovascular diseases"	"Sideroblastic anemia"
"ABCB8"	"Cancers"	"Breast cancer"
"ABCC1"	"Cancers"	"Breast cancer"
"ABCC1"	"Cancers"	"Colorectal cancer"
"ABCC1"	"Cardiovascular diseases"	"High blood pressure"
"ABCC13"	"Cancers"	"Colorectal cancer"
"ABCC2"	"Cancers"	"Colorectal cancer"
"ABCC2"	"Congenital disorders of metabolism"	"Hyperbilirubinemia"
"ABCC2"	"Digestive system diseases"	"Intrahepatic cholestasis of pregnancy"
"ABCC2"	"Digestive system diseases"	"Nonalcoholic fatty liver disease"
"ABCC2"	"Digestive system diseases"	"Primary biliary cirrhosis"
"ABCC2"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCC3"	"Cancers"	"Colorectal cancer"
"ABCC3"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCC4"	"Cancers"	"Colorectal cancer"
"ABCC4"	"Cancers"	"Prostate cancer"
"ABCC4"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCC4"	"Reproductive system diseases"	"Endometriosis"
"ABCC5"	"Cancers"	"Colorectal cancer"
"ABCC5"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCC6"	"Cancers"	"Colorectal cancer"
"ABCC6"	"Cardiovascular diseases"	"Moyamoya disease"
"ABCC6"	"Congenital malformations"	"Pseudoxanthoma elasticum"
"ABCC8"	"Cancers"	"Colorectal cancer"
"ABCC9"	"Cancers"	"Endometrial cancer"
"ABCC9"	"Cardiovascular diseases"	"Atrial fibrillation"
"ABCC9"	"Cardiovascular diseases"	"Brugada syndrome"
"ABCC9"	"Reproductive system diseases"	"Endometriosis"
"ABCD1"	"Congenital disorders of metabolism"	"Adrenoleukodystrophy"
"ABCD2"	"Cancers"	"Colorectal cancer"
"ABCD3"	"Cancers"	"Colorectal cancer"
"ABCD3"	"Congenital disorders of metabolism"	"Zellweger syndrome"
"ABCD4"	"Cancers"	"Colorectal cancer"
"ABCE1"	"Cancers"	"Colorectal cancer"
"ABCG1"	"Cancers"	"Colorectal cancer"
"ABCG2"	"Cancers"	"Breast cancer"
"ABCG2"	"Cancers"	"Colorectal cancer"
"ABCG2"	"Cancers"	"T-cell acute lymphoblastic leukemia"
"ABCG2"	"Digestive system diseases"	"Primary biliary cirrhosis"
"ABCG2"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCG2"	"Musculoskeletal diseases"	"Gout"
"ABCG5"	"Cancers"	"Prostate cancer"
"ABCG5"	"Cardiovascular diseases"	"Coronary artery disease"
"ABCG5"	"Congenital disorders of metabolism"	"Sitosterolemia"
"ABCG5"	"Skin diseases"	"Xanthoma"
"ABCG8"	"Cardiovascular diseases"	"Coronary artery disease"
"ABCG8"	"Congenital disorders of metabolism"	"Sitosterolemia"
"ABCG8"	"Digestive system diseases"	"Intrahepatic cholestasis of pregnancy"
"ABHD12"	"Eye disease"	"Optic atrophy"
"ABHD12"	"Eye disease"	"Retinitis pigmentosa"
"ABHD12B"	"Cancers"	"Breast cancer"
"ABHD5"	"Congenital disorders of metabolism"	"Dorfman-Chanarin syndrome"
"ABI3"	"Nervous system diseases"	"Alzheimer disease"
"ABI3BP"	"Mental and behavioural disorders"	"Major depressive disorder"
"ABI3BP"	"Reproductive system diseases"	"Endometriosis"
"ABL1"	"Cancers"	"B-cell acute lymphoblastic leukemia"
"ABL1"	"Cancers"	"Breast cancer"
"ABL1"	"Cancers"	"Burkitt lymphoma"
"ABL1"	"Cancers"	"Esophageal cancer"
"ABL1"	"Cancers"	"Melanoma"
"ABL1"	"Cancers"	"T-cell acute lymphoblastic leukemia"
"ABL1"	"Congenital malformations"	"Syndactyly"
"ABO"	"Cancers"	"Pancreatic cancer"
"ABO"	"Cancers"	"Prostate cancer"
"ABO"	"Cardiovascular diseases"	"Coronary artery disease"
"ABR"	"Cancers"	"Prostate cancer"
"ABRAXAS1"	"Cancers"	"Breast cancer"
"ABT1"	"Cancers"	"Gastric cancer"
"ACACA"	"Cancers"	"Colorectal cancer"
"ACACA"	"Cancers"	"Hepatocellular carcinoma"
"ACAD8"	"Cancers"	"Gastric cancer"
"ACAD8"	"Congenital disorders of metabolism"	"Isobutyryl-CoA dehydrogenase deficiency"
"ACADM"	"Cancers"	"Breast cancer"
"ACADM"	"Congenital disorders of metabolism"	"MCAD deficiency"
"ACADS"	"Congenital disorders of metabolism"	"SCAD deficiency"
"ACADS"	"Mental and behavioural disorders"	"Bipolar disorder"
"ACADSB"	"Mental and behavioural disorders"	"Autism"
"ACADVL"	"Congenital disorders of metabolism"	"VLCAD deficiency"
"ACAN"	"Immune system diseases"	"Rheumatoid arthritis"
"ACAN"	"Musculoskeletal diseases"	"Familial osteochondritis dissecans"
"ACAP1"	"Cancers"	"Breast cancer"
"ACAP1"	"Cancers"	"Colorectal cancer"
"ACAT1"	"Congenital disorders of metabolism"	"Alpha-methylacetoacetic aciduria"
"ACCS"	"Cancers"	"Breast cancer"
"ACD"	"Other congenital disorders"	"Dyskeratosis congenita"
"ACD"	"Other congenital disorders"	"Hoyeraal-Hreidarsson syndrome"
"ACE"	"Cancers"	"Gastric cancer"
"ACE"	"Cancers"	"Hepatocellular carcinoma"
"ACE"	"Cancers"	"Prostate cancer"
"ACE"	"Cardiovascular diseases"	"Atrial fibrillation"
"ACE"	"Cardiovascular diseases"	"Coronary artery disease"
"ACE"	"Cardiovascular diseases"	"High blood pressure"
"ACE"	"Cardiovascular diseases"	"Myocardial infarction"
"ACE"	"Congenital disorders of metabolism"	"Gaucher disease"
"ACE"	"Congenital disorders of metabolism"	"Glycogen storage disease type V"
"ACE"	"Congenital malformations"	"Renal tubular dysgenesis"
"ACE"	"Digestive system diseases"	"Celiac disease"
"ACE"	"Digestive system diseases"	"Nonalcoholic fatty liver disease"
"ACE"	"Endocrine and metabolic diseases"	"Diabetic nephropathy"
"ACE"	"Immune system diseases"	"IgA nephropathy"
"ACE"	"Mental and behavioural disorders"	"Autism"
"ACE"	"Mental and behavioural disorders"	"Bipolar disorder"
"ACE"	"Mental and behavioural disorders"	"Major depressive disorder"
"ACE"	"Mental and behavioural disorders"	"Schizophrenia"
"ACE"	"Nervous system diseases"	"Alzheimer disease"
"ACE2"	"Cardiovascular diseases"	"High blood pressure"
"ACE2"	"Endocrine and metabolic diseases"	"Diabetic nephropathy"
"ACER3"	"Cancers"	"Melanoma"
"ACHE"	"Cancers"	"Bladder cancer"
"ACHE"	"Cancers"	"Breast cancer"
"ACHE"	"Cancers"	"Prostate cancer"
"ACHE"	"Cancers"	"Renal cell carcinoma"
"ACHE"	"Mental and behavioural disorders"	"Schizophrenia"
"ACHE"	"Nervous system diseases"	"Alzheimer disease"
"ACIN1"	"Cancers"	"Colorectal cancer"
"ACKR3"	"Cancers"	"Colorectal cancer"
"ACKR3"	"Immune system diseases"	"Rheumatoid arthritis"
"ACLY"	"Cancers"	"Hepatocellular carcinoma"
"ACO2"	"Cancers"	"Breast cancer"
"ACO2"	"Cancers"	"Hepatocellular carcinoma"
"ACOT6"	"Mental and behavioural disorders"	"Schizophrenia"
"ACOX1"	"Cancers"	"Hepatocellular carcinoma"
"ACOX1"	"Congenital disorders of metabolism"	"Peroxisomal acyl-CoA oxidase deficiency"
"ACOXL"	"Cancers"	"Chronic lymphocytic leukemia"
"ACP1"	"Mental and behavioural disorders"	"Major depressive disorder"
"ACP1"	"Mental and behavioural disorders"	"Schizophrenia"
"ACP2"	"Congenital disorders of metabolism"	"Acid phosphatase deficiency"
"ACP3"	"Immune system diseases"	"Juvenile idiopathic arthritis"
"ACRBP"	"Cancers"	"Prostate cancer"
"ACRBP"	"Immune system diseases"	"Juvenile idiopathic arthritis"
"ACSF3"	"Congenital disorders of metabolism"	"Combined malonic and methylmalonic aciduria"
"ACSF3"	"Congenital disorders of metabolism"	"Malonyl-CoA decarboxylase deficiency"
"ACSF3"	"Congenital disorders of metabolism"	"Methylmalonic aciduria"
"ACSL4"	"Cancers"	"Colorectal cancer"
"ACSL4"	"Cancers"	"Hepatocellular carcinoma"
"ACSL4"	"Cancers"	"Prostate cancer"
"ACSL5"	"Cancers"	"Colorectal cancer"
"ACSL6"	"Cardiovascular diseases"	"Myelodysplastic syndrome"
"ACSL6"	"Mental and behavioural disorders"	"Schizophrenia"
"ACSM1"	"Mental and behavioural disorders"	"Major depressive disorder"
"ACSM1"	"Mental and behavioural disorders"	"Schizophrenia"
"ACSM3"	"Cancers"	"Prostate cancer"
"ACTA1"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"ACTA1"	"Musculoskeletal diseases"	"Centronuclear myopathy"
"ACTA1"	"Musculoskeletal diseases"	"Congenital fiber type disproportion"
"ACTA1"	"Musculoskeletal diseases"	"Tubular aggregate myopathy"
"ACTA2"	"Cancers"	"Breast cancer"
"ACTA2"	"Cardiovascular diseases"	"Moyamoya disease"
"ACTA2"	"Cardiovascular diseases"	"Myocardial infarction"
"ACTA2"	"Immune system diseases"	"Systemic sclerosis"
"ACTA2"	"Reproductive system diseases"	"Endometriosis"
"ACTA2"	"Urinary system diseases"	"Focal segmental glomerulosclerosis"
"ACTB"	"Cancers"	"Esophageal cancer"
"ACTB"	"Cancers"	"Hepatocellular carcinoma"
"ACTB"	"Congenital malformations"	"Baraitser-Winter syndrome"
"ACTB"	"Congenital malformations"	"Juvenile-onset dystonia"
"ACTB"	"Congenital malformations"	"Ocular coloboma"
"ACTB"	"Mental and behavioural disorders"	"Bipolar disorder"
"ACTB"	"Mental and behavioural disorders"	"Schizophrenia"
"ACTC1"	"Cancers"	"Gastric cancer"
"ACTC1"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"ACTC1"	"Cardiovascular diseases"	"Left ventricular noncompaction"
"ACTG1"	"Congenital malformations"	"Baraitser-Winter syndrome"
"ACTG1"	"Congenital malformations"	"Ocular coloboma"
"ACTG1"	"Musculoskeletal diseases"	"Osteoporosis"
"ACTG2"	"Congenital malformations"	"Megacystis microcolon intestinal hypoperistalsis syndrome"
"ACTL9"	"Cancers"	"Colorectal cancer"
"ACTN1"	"Cardiovascular diseases"	"Macrothrombocytopenia"
"ACTN4"	"Urinary system diseases"	"Focal segmental glomerulosclerosis"
"ACTR2"	"Mental and behavioural disorders"	"Schizophrenia"
"ACVR1"	"Cancers"	"Breast cancer"
"ACVR1"	"Cancers"	"Glioma"
"ACVR1"	"Cancers"	"Melanoma"
"ACVR1"	"Cardiovascular diseases"	"Iron-refractory iron deficiency anemia"
"ACVR1"	"Musculoskeletal diseases"	"Fibrodysplasia ossificans progressiva"
"ACVR1"	"Nervous system diseases"	"Subependymal giant cell astrocytoma"
"ACVR2B"	"Congenital malformations"	"Heterotaxy"
"ACVR2B"	"Congenital malformations"	"Polysplenia syndrome"
"ACVRL1"	"Cardiovascular diseases"	"Hereditary hemorrhagic telangiectasia"
"ACVRL1"	"Cardiovascular diseases"	"Primary pulmonary hypertension"
"ACVRL1"	"Cardiovascular diseases"	"Pulmonary arterial hypertension"
"ACY1"	"Cancers"	"Breast cancer"
"ACY1"	"Cancers"	"Renal cell carcinoma"
"ACY1"	"Congenital disorders of metabolism"	"Aminoacylase 1 deficiency"
"ADA"	"Immune system diseases"	"Adenosine deaminase deficiency"
"ADA"	"Mental and behavioural disorders"	"Autism"
"ADA2"	"Cardiovascular diseases"	"Polyarteritis nodosa"
"ADA2"	"Immune system diseases"	"Combined immunodeficiency"
"ADAM10"	"Cancers"	"Breast cancer"
"ADAM10"	"Nervous system diseases"	"Alzheimer disease"
"ADAM10"	"Skin diseases"	"Dowling-Degos disease"
"ADAM12"	"Cancers"	"Breast cancer"
"ADAM12"	"Mental and behavioural disorders"	"Schizophrenia"
"ADAM17"	"Immune system diseases"	"Immunodeficiency without anhidrotic ectodermal dysplasia"
"ADAM19"	"Cancers"	"Colorectal cancer"
"ADAM28"	"Cancers"	"Prostate cancer"
"ADAM29"	"Cancers"	"Colorectal cancer"
"ADAM33"	"Cancers"	"Breast cancer"
"ADAM9"	"Cancers"	"Prostate cancer"
"ADAMTS1"	"Cancers"	"Breast cancer"
"ADAMTS1"	"Cancers"	"Hepatocellular carcinoma"
"ADAMTS1"	"Cancers"	"Non-small cell lung cancer"
"ADAMTS1"	"Nervous system diseases"	"Alzheimer disease"
"ADAMTS10"	"Congenital malformations"	"Weill-Marchesani syndrome"
"ADAMTS12"	"Mental and behavioural disorders"	"Schizophrenia"
"ADAMTS13"	"Cancers"	"Hepatocellular carcinoma"
"ADAMTS13"	"Immune system diseases"	"Immune thrombocytopenia"
"ADAMTS15"	"Cancers"	"Colorectal cancer"
"ADAMTS18"	"Cancers"	"Colorectal cancer"
"ADAMTS19"	"Cancers"	"Breast cancer"
"ADAMTS20"	"Cancers"	"Melanoma"
"ADAMTS3"	"Congenital malformations"	"Hennekam lymphangiectasia-lymphedema syndrome"
"ADAMTS3"	"Mental and behavioural disorders"	"Schizophrenia"
"ADAMTS7"	"Cardiovascular diseases"	"Coronary artery disease"
"ADAMTS7"	"Reproductive system diseases"	"Polycystic ovary syndrome"
"ADAMTS8"	"Cancers"	"Prostate cancer"
"ADAMTSL2"	"Congenital malformations"	"Acromicric dysplasia"
"ADAMTSL2"	"Congenital malformations"	"Geleophysic dysplasia"
"ADAMTSL2"	"Congenital malformations"	"Multiple epiphyseal dysplasia"
"ADAMTSL2"	"Congenital malformations"	"Spondyloepiphyseal dysplasia congenita"
"ADAMTSL2"	"Congenital malformations"	"Spondyloepiphyseal dysplasia tarda"
"ADAMTSL2"	"Musculoskeletal diseases"	"Hyperostosis corticalis generalisata"
"ADAMTSL2"	"Musculoskeletal diseases"	"Schwartz-Jampel syndrome"
"ADAMTSL3"	"Cancers"	"Colorectal cancer"
"ADAMTSL3"	"Mental and behavioural disorders"	"Schizophrenia"
"ADAMTSL4"	"Congenital malformations"	"Ectopia lentis"
"ADAR"	"Cancers"	"Breast cancer"
"ADAR"	"Immune system diseases"	"Aicardi-Goutieres syndrome"
"ADAR"	"Skin diseases"	"Dyschromatosis symmetrica hereditaria"
"ADARB1"	"Mental and behavioural disorders"	"Bipolar disorder"
"ADARB1"	"Mental and behavioural disorders"	"Schizophrenia"
"ADARB1"	"Reproductive system diseases"	"Polycystic ovary syndrome"
"ADARB2"	"Cancers"	"Colorectal cancer"
"ADARB2"	"Nervous system diseases"	"Parkinson disease"
"ADAT3"	"Cancers"	"Breast cancer"
"ADCY1"	"Cancers"	"Small cell lung cancer"
"ADCY2"	"Immune system diseases"	"Asthma"
"ADCY2"	"Mental and behavioural disorders"	"Bipolar disorder"
"ADCY3"	"Mental and behavioural disorders"	"Bipolar disorder"
"ADCY5"	"Cardiovascular diseases"	"High blood pressure"
"ADCY5"	"Mental and behavioural disorders"	"Major depressive disorder"
"ADCY5"	"Musculoskeletal diseases"	"Osteoporosis"
"ADCY5"	"Nervous system diseases"	"Benign hereditary chorea"
"ADCY7"	"Immune system diseases"	"Juvenile idiopathic arthritis"
"ADCY7"	"Immune system diseases"	"Ulcerative colitis"
"ADCY7"	"Mental and behavioural disorders"	"Major depressive disorder"
"ADCY7"	"Mental and behavioural disorders"	"Schizophrenia"
"ADCY8"	"Cancers"	"Colorectal cancer"
"ADCY8"	"Mental and behavioural disorders"	"Bipolar disorder"
"ADCYAP1"	"Mental and behavioural disorders"	"Bipolar disorder"
"ADCYAP1"	"Mental and behavioural disorders"	"Schizophrenia"
"ADCYAP1R1"	"Immune system diseases"	"Asthma"
"ADCYAP1R1"	"Mental and behavioural disorders"	"Schizophrenia"
"ADD1"	"Cancers"	"Hepatocellular carcinoma"
"ADD1"	"Cardiovascular diseases"	"High blood pressure"
"ADD3"	"Mental and behavioural disorders"	"Bipolar disorder"
"ADGRD2"	"Reproductive system diseases"	"Polycystic ovary syndrome"
"ADGRE2"	"Skin diseases"	"Vibratory urticaria"
"ADGRF4"	"Cancers"	"Breast cancer"
"ADGRF4"	"Mental and behavioural disorders"	"Schizophrenia"
"ADGRG1"	"Congenital malformations"	"Polymicrogyria"
"ADGRG2"	"Congenital malformations"	"Congenital bilateral absence of vas deferens"
"ADGRG7"	"Cancers"	"Hepatocellular carcinoma"
"ADH1A"	"Digestive system diseases"	"Nonalcoholic fatty liver disease"
"ADH1B"	"Cancers"	"Colorectal cancer"
"ADH1B"	"Cancers"	"Esophageal cancer"
"ADH1B"	"Cancers"	"Laryngeal cancer"
"ADH1B"	"Cancers"	"Oral cancer"
"ADH1B"	"Digestive system diseases"	"Nonalcoholic fatty liver disease"
"ADH1C"	"Cancers"	"Oral cancer"
"ADH4"	"Cancers"	"Hepatocellular carcinoma"
"ADH4"	"Digestive system diseases"	"Nonalcoholic fatty liver disease"
"ADH7"	"Cancers"	"Esophageal cancer"
"ADH7"	"Cancers"	"Laryngeal cancer"
"ADH7"	"Cancers"	"Oral cancer"
"ADHFE1"	"Cancers"	"Breast cancer"
"ADI1"	"Cancers"	"Prostate cancer"
"ADIPOQ"	"Cancers"	"Renal cell carcinoma"
"ADIPOQ"	"Cardiovascular diseases"	"High blood pressure"
"ADIPOQ"	"Congenital disorders of metabolism"	"Adiponectin deficiency"
"ADIPOQ"	"Digestive system diseases"	"Nonalcoholic fatty liver disease"
"ADIPOQ"	"Endocrine and metabolic diseases"	"Diabetic nephropathy"
"ADIPOQ"	"Immune system diseases"	"Crohn disease"
"ADIPOQ"	"Immune system diseases"	"Rheumatoid arthritis"
"ADK"	"Mental and behavioural disorders"	"Schizophrenia"
"ADM"	"Mental and behavioural disorders"	"Autism"
"ADM"	"Mental and behavioural disorders"	"Bipolar disorder"
"ADM"	"Mental and behavioural disorders"	"Schizophrenia"
"ADNP"	"Mental and behavioural disorders"	"Autism"
"ADNP"	"Mental and behavioural disorders"	"Schizophrenia"
"ADNP2"	"Mental and behavioural disorders"	"Schizophrenia"
"ADORA1"	"Cancers"	"Colorectal cancer"
"ADORA1"	"Cardiovascular diseases"	"Myocardial infarction"
"ADORA1"	"Mental and behavioural disorders"	"Schizophrenia"
"ADORA2A"	"Immune system diseases"	"Rheumatoid arthritis"
"ADORA2A"	"Mental and behavioural disorders"	"Panic disorder"
"ADORA2A"	"Mental and behavioural disorders"	"Schizophrenia"
"ADORA2A"	"Nervous system diseases"	"Acute encephalopathy with biphasic seizures and late reduced diffusion"
"ADORA2A"	"Nervous system diseases"	"Insomnia"
"ADORA3"	"Cancers"	"Colorectal cancer"
"ADORA3"	"Cardiovascular diseases"	"Myocardial infarction"
"ADRA1A"	"Cancers"	"Breast cancer"
"ADRA1A"	"Cancers"	"Hepatocellular carcinoma"
"ADRA1A"	"Mental and behavioural disorders"	"Bipolar disorder"
"ADRA1A"	"Mental and behavioural disorders"	"Major depressive disorder"
"ADRA1A"	"Mental and behavioural disorders"	"Schizophrenia"
"ADRA2A"	"Cardiovascular diseases"	"High blood pressure"
"ADRA2A"	"Congenital disorders of metabolism"	"Familial partial lipodystrophy"
"ADRA2A"	"Mental and behavioural disorders"	"Panic disorder"
"ADRA2A"	"Mental and behavioural disorders"	"Schizophrenia"
"ADRA2B"	"Cancers"	"Hepatocellular carcinoma"
"ADRA2C"	"Mental and behavioural disorders"	"Bipolar disorder"
"ADRB1"	"Cancers"	"Gastric cancer"
"ADRB1"	"Cardiovascular diseases"	"High blood pressure"
"ADRB2"	"Cancers"	"Gastric cancer"
"ADRB2"	"Cancers"	"Prostate cancer"
"ADRB2"	"Endocrine and metabolic diseases"	"Hyperlipidemia"
"ADRB2"	"Immune system diseases"	"Asthma"
"ADRB2"	"Mental and behavioural disorders"	"Autism"
"ADRB2"	"Mental and behavioural disorders"	"Bipolar disorder"
"ADRB3"	"Endocrine and metabolic diseases"	"Hyperlipidemia"
"ADSL"	"Congenital disorders of metabolism"	"Adenylosuccinate lyase deficiency"
"ADSL"	"Mental and behavioural disorders"	"Autism"
"ADSS2"	"Mental and behavioural disorders"	"Schizophrenia"
"ADTRP"	"Cardiovascular diseases"	"Coronary artery disease"
"AFAP1-AS1"	"Congenital malformations"	"Hirschsprung disease"
"AFAP1L2"	"Cancers"	"Squamous cell carcinoma"
"AFF1"	"Cancers"	"B-cell acute lymphoblastic leukemia"
"AFF1"	"Cancers"	"Breast cancer"
"AFF1"	"Cancers"	"Burkitt lymphoma"
"AFF2"	"Other congenital disorders"	"Fragile X syndrome"
"AFF3"	"Immune system diseases"	"Rheumatoid arthritis"
"AFF4"	"Congenital malformations"	"CHOPS syndrome"
"AFG1L"	"Mental and behavioural disorders"	"Bipolar disorder"
"AFP"	"Cancers"	"Breast cancer"
"AFP"	"Cancers"	"Gastric cancer"
"AFP"	"Cancers"	"Hepatocellular carcinoma"
"AGA"	"Congenital disorders of metabolism"	"Aspartylglucosaminuria"
"AGA"	"Mental and behavioural disorders"	"Schizophrenia"
"AGAP1"	"Mental and behavioural disorders"	"Autism"
"AGAP2"	"Cancers"	"Breast cancer"
"AGBL1"	"Eye disease"	"Fuchs corneal dystrophy"
"AGBL4"	"Cardiovascular diseases"	"Atrial fibrillation"
"AGBL5"	"Eye disease"	"Retinitis pigmentosa"
"AGER"	"Immune system diseases"	"Rheumatoid arthritis"
"AGER"	"Mental and behavioural disorders"	"Schizophrenia"
"AGER"	"Nervous system diseases"	"Neuropathic pain"
"AGGF1"	"Cardiovascular diseases"	"Klippel-Trenaunay-Weber syndrome"
"AGGF1"	"Cardiovascular diseases"	"Klippel-Trenaunay-Weber syndrome"
"AGL"	"Congenital disorders of metabolism"	"Glycogen storage disease"
"AGL"	"Congenital disorders of metabolism"	"Glycogen storage disease type III"
"AGO1"	"Mental and behavioural disorders"	"Autism"
"AGPAT2"	"Congenital disorders of metabolism"	"Congenital generalized lipodystrophy"
"AGPAT2"	"Congenital disorders of metabolism"	"Lipodystrophy"
"AGR2"	"Cancers"	"Breast cancer"
"AGR2"	"Cancers"	"Prostate cancer"
"AGT"	"Cardiovascular diseases"	"High blood pressure"
"AGT"	"Cardiovascular diseases"	"Myocardial infarction"
"AGT"	"Congenital malformations"	"Congenital diaphragmatic hernia"
"AGT"	"Congenital malformations"	"Renal tubular dysgenesis"
"AGT"	"Endocrine and metabolic diseases"	"Diabetic nephropathy"
"AGT"	"Endocrine and metabolic diseases"	"Diabetic retinopathy"
"AGT"	"Immune system diseases"	"IgA nephropathy"
"AGT"	"Mental and behavioural disorders"	"Bipolar disorder"
"AGT"	"Urinary system diseases"	"Focal segmental glomerulosclerosis"
"AGT"	"Urinary system diseases"	"Nephrotic syndrome"
"AGTPBP1"	"Cancers"	"Colorectal cancer"
"AGTR1"	"Cardiovascular diseases"	"High blood pressure"
"AGTR1"	"Cardiovascular diseases"	"Patent ductus arteriosus"
"AGTR1"	"Congenital malformations"	"Renal tubular dysgenesis"
"AGTR1"	"Endocrine and metabolic diseases"	"Diabetic retinopathy"
"AGTR1"	"Endocrine and metabolic diseases"	"Pituitary adenomas"
"AGTR2"	"Cancers"	"Gastric cancer"
"AGTR2"	"Cardiovascular diseases"	"High blood pressure"
"AGXT"	"Congenital disorders of metabolism"	"Primary hyperoxaluria"
