"gene_symbol"	"organsystem"	"kegg_diseasename"
"ABCA1"	"Congenital disorders of metabolism"	"Tangier disease"
"ABCA1"	"Congenital malformations"	"Syringomyelia"
"ABCA1"	"Mental and behavioural disorders"	"Schizophrenia"
"ABCA10"	"Cancers"	"Colorectal cancer"
"ABCA12"	"Cancers"	"Colorectal cancer"
"ABCA12"	"Congenital malformations"	"Congenital ichthyosis"
"ABCA12"	"Congenital malformations"	"Harlequin ichthyosis"
"ABCA12"	"Eye disease"	"Cataract"
"ABCA12"	"Skin diseases"	"Palmoplantar keratoderma"
"ABCA13"	"Cancers"	"Colorectal cancer"
"ABCA13"	"Mental and behavioural disorders"	"Bipolar disorder"
"ABCA13"	"Mental and behavioural disorders"	"Schizophrenia"
"ABCA3"	"Cancers"	"Breast cancer"
"ABCA3"	"Cancers"	"Colorectal cancer"
"ABCA3"	"Digestive system diseases"	"Gastroesophageal reflux disease"
"ABCA3"	"Respiratory diseases"	"Idiopathic pulmonary fibrosis"
"ABCA4"	"Cancers"	"Breast cancer"
"ABCA4"	"Cancers"	"Colorectal cancer"
"ABCA4"	"Endocrine and metabolic diseases"	"Type 2 diabetes mellitus"
"ABCA4"	"Eye disease"	"Age-related macular degeneration"
"ABCA4"	"Eye disease"	"Cataract"
"ABCA4"	"Eye disease"	"Familial exudative vitreoretinopathy"
"ABCA4"	"Eye disease"	"Keratoconus"
"ABCA4"	"Eye disease"	"Macular dystrophy"
"ABCA4"	"Eye disease"	"Optic atrophy"
"ABCA4"	"Eye disease"	"Retinitis pigmentosa"
"ABCA4"	"Eye disease"	"Stargardt disease"
"ABCA5"	"Cancers"	"Colorectal cancer"
"ABCA6"	"Cancers"	"Colorectal cancer"
"ABCA7"	"Nervous system diseases"	"Alzheimer disease"
"ABCA7"	"Nervous system diseases"	"Parkinsonian syndrome"
"ABCA8"	"Cancers"	"Colorectal cancer"
"ABCA9"	"Cancers"	"Colorectal cancer"
"ABCB1"	"Cancers"	"Adrenal carcinoma"
"ABCB1"	"Cancers"	"Breast cancer"
"ABCB1"	"Cancers"	"Colorectal cancer"
"ABCB1"	"Cancers"	"Esophageal cancer"
"ABCB1"	"Cancers"	"Hepatocellular carcinoma"
"ABCB1"	"Cancers"	"Neuroblastoma"
"ABCB1"	"Cancers"	"Non-small cell lung cancer"
"ABCB1"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCB1"	"Immune system diseases"	"Ulcerative colitis"
"ABCB1"	"Mental and behavioural disorders"	"Major depressive disorder"
"ABCB1"	"Mental and behavioural disorders"	"Schizophrenia"
"ABCB1"	"Nervous system diseases"	"Parkinson disease"
"ABCB10"	"Cancers"	"Breast cancer"
"ABCB10"	"Cancers"	"Colorectal cancer"
"ABCB11"	"Cancers"	"Colorectal cancer"
"ABCB11"	"Cancers"	"Hepatocellular carcinoma"
"ABCB11"	"Cardiovascular diseases"	"Afibrinogenemia"
"ABCB11"	"Digestive system diseases"	"Intrahepatic cholestasis of pregnancy"
"ABCB11"	"Digestive system diseases"	"Progressive familial intrahepatic cholestasis"
"ABCB4"	"Cancers"	"Colorectal cancer"
"ABCB4"	"Cancers"	"Hepatocellular carcinoma"
"ABCB4"	"Digestive system diseases"	"Intrahepatic cholestasis of pregnancy"
"ABCB4"	"Digestive system diseases"	"Nonalcoholic fatty liver disease"
"ABCB4"	"Digestive system diseases"	"Primary biliary cirrhosis"
"ABCB4"	"Digestive system diseases"	"Primary sclerosing cholangitis"
"ABCB4"	"Digestive system diseases"	"Progressive familial intrahepatic cholestasis"
"ABCB5"	"Cancers"	"Colorectal cancer"
"ABCB5"	"Cancers"	"Melanoma"
"ABCB6"	"Cancers"	"Breast cancer"
"ABCB6"	"Cancers"	"Colorectal cancer"
"ABCB6"	"Cardiovascular diseases"	"High blood pressure"
"ABCB6"	"Congenital malformations"	"Microphthalmia"
"ABCB6"	"Congenital malformations"	"Nanophthalmos"
"ABCB6"	"Congenital malformations"	"Ocular coloboma"
"ABCB6"	"Musculoskeletal diseases"	"Periodic paralysis"
"ABCB6"	"Reproductive system diseases"	"Polycystic ovary syndrome"
"ABCB7"	"Cardiovascular diseases"	"Hypochromic microcytic anemia"
"ABCB7"	"Cardiovascular diseases"	"Sideroblastic anemia"
"ABCB8"	"Cancers"	"Breast cancer"
"ABCC1"	"Cancers"	"Breast cancer"
"ABCC1"	"Cancers"	"Colorectal cancer"
"ABCC1"	"Cardiovascular diseases"	"High blood pressure"
"ABCC13"	"Cancers"	"Colorectal cancer"
"ABCC2"	"Cancers"	"Colorectal cancer"
"ABCC2"	"Congenital disorders of metabolism"	"Hyperbilirubinemia"
"ABCC2"	"Digestive system diseases"	"Intrahepatic cholestasis of pregnancy"
"ABCC2"	"Digestive system diseases"	"Nonalcoholic fatty liver disease"
"ABCC2"	"Digestive system diseases"	"Primary biliary cirrhosis"
"ABCC2"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCC3"	"Cancers"	"Colorectal cancer"
"ABCC3"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCC4"	"Cancers"	"Colorectal cancer"
"ABCC4"	"Cancers"	"Prostate cancer"
"ABCC4"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCC4"	"Reproductive system diseases"	"Endometriosis"
"ABCC5"	"Cancers"	"Colorectal cancer"
"ABCC5"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCC6"	"Cancers"	"Colorectal cancer"
"ABCC6"	"Cardiovascular diseases"	"Angina pectoris"
"ABCC6"	"Cardiovascular diseases"	"High blood pressure"
"ABCC6"	"Cardiovascular diseases"	"Mitral valve prolapse"
"ABCC6"	"Cardiovascular diseases"	"Moyamoya disease"
"ABCC6"	"Cardiovascular diseases"	"Myocardial infarction"
"ABCC6"	"Cardiovascular diseases"	"Restrictive cardiomyopathy"
"ABCC6"	"Congenital disorders of metabolism"	"Hypophosphatemic rickets"
"ABCC6"	"Congenital malformations"	"Cutis laxa"
"ABCC6"	"Congenital malformations"	"Pseudoxanthoma elasticum"
"ABCC6"	"Eye disease"	"Macular dystrophy"
"ABCC6"	"Eye disease"	"Myopia"
"ABCC8"	"Cancers"	"Colorectal cancer"
"ABCC8"	"Endocrine and metabolic diseases"	"Transient neonatal diabetes mellitus"
"ABCC8"	"Endocrine and metabolic diseases"	"Type 2 diabetes mellitus"
"ABCC9"	"Cancers"	"Endometrial cancer"
"ABCC9"	"Cardiovascular diseases"	"Atrial fibrillation"
"ABCC9"	"Cardiovascular diseases"	"Brugada syndrome"
"ABCC9"	"Cardiovascular diseases"	"Dilated cardiomyopathy"
"ABCC9"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"ABCC9"	"Cardiovascular diseases"	"Patent ductus arteriosus"
"ABCC9"	"Cardiovascular diseases"	"Sick sinus syndrome"
"ABCC9"	"Congenital malformations"	"Bicuspid aortic valve"
"ABCC9"	"Musculoskeletal diseases"	"Osteoporosis"
"ABCC9"	"Reproductive system diseases"	"Endometriosis"
"ABCC9"	"Skin diseases"	"Palmoplantar keratoderma"
"ABCD1"	"Congenital disorders of metabolism"	"Adrenoleukodystrophy"
"ABCD1"	"Endocrine and metabolic diseases"	"Addison disease"
"ABCD2"	"Cancers"	"Colorectal cancer"
"ABCD3"	"Cancers"	"Colorectal cancer"
"ABCD3"	"Congenital disorders of metabolism"	"Zellweger syndrome"
"ABCD4"	"Cancers"	"Colorectal cancer"
"ABCD4"	"Cardiovascular diseases"	"Atrial septal defect"
"ABCD4"	"Cardiovascular diseases"	"Pulmonary arterial hypertension"
"ABCD4"	"Congenital disorders of metabolism"	"Homocystinuria"
"ABCD4"	"Congenital disorders of metabolism"	"Methylmalonic aciduria"
"ABCD4"	"Digestive system diseases"	"Gastroesophageal reflux disease"
"ABCD4"	"Reproductive system diseases"	"Cryptorchidism"
"ABCE1"	"Cancers"	"Colorectal cancer"
"ABCG1"	"Cancers"	"Colorectal cancer"
"ABCG2"	"Cancers"	"Breast cancer"
"ABCG2"	"Cancers"	"Colorectal cancer"
"ABCG2"	"Cancers"	"T-cell acute lymphoblastic leukemia"
"ABCG2"	"Digestive system diseases"	"Primary biliary cirrhosis"
"ABCG2"	"Immune system diseases"	"Rheumatoid arthritis"
"ABCG2"	"Musculoskeletal diseases"	"Gout"
"ABCG5"	"Cancers"	"Prostate cancer"
"ABCG5"	"Cardiovascular diseases"	"Angina pectoris"
"ABCG5"	"Cardiovascular diseases"	"Coronary artery disease"
"ABCG5"	"Cardiovascular diseases"	"High blood pressure"
"ABCG5"	"Cardiovascular diseases"	"Myocardial infarction"
"ABCG5"	"Congenital disorders of metabolism"	"Sitosterolemia"
"ABCG5"	"Endocrine and metabolic diseases"	"Hyperlipidemia"
"ABCG5"	"Eye disease"	"Optic neuropathy"
"ABCG5"	"Skin diseases"	"Xanthoma"
"ABCG8"	"Cardiovascular diseases"	"Angina pectoris"
"ABCG8"	"Cardiovascular diseases"	"Coronary artery disease"
"ABCG8"	"Cardiovascular diseases"	"High blood pressure"
"ABCG8"	"Cardiovascular diseases"	"Myocardial infarction"
"ABCG8"	"Congenital disorders of metabolism"	"Familial combined hyperlipidemia"
"ABCG8"	"Congenital disorders of metabolism"	"Sitosterolemia"
"ABCG8"	"Digestive system diseases"	"Intrahepatic cholestasis of pregnancy"
"ABCG8"	"Endocrine and metabolic diseases"	"Hyperlipidemia"
"ABCG8"	"Eye disease"	"Optic neuropathy"
"ABHD12"	"Eye disease"	"Optic atrophy"
"ABHD12"	"Eye disease"	"Retinitis pigmentosa"
"ABHD12B"	"Cancers"	"Breast cancer"
"ABHD5"	"Congenital disorders of metabolism"	"Dorfman-Chanarin syndrome"
"ABHD5"	"Congenital disorders of metabolism"	"Hypertriglyceridemia"
"ABHD5"	"Congenital malformations"	"Congenital ichthyosis"
"ABI3"	"Nervous system diseases"	"Alzheimer disease"
"ABI3BP"	"Mental and behavioural disorders"	"Major depressive disorder"
"ABI3BP"	"Reproductive system diseases"	"Endometriosis"
"ABL1"	"Cancers"	"B-cell acute lymphoblastic leukemia"
"ABL1"	"Cancers"	"Breast cancer"
"ABL1"	"Cancers"	"Burkitt lymphoma"
"ABL1"	"Cancers"	"Chronic myeloid leukemia"
"ABL1"	"Cancers"	"Esophageal cancer"
"ABL1"	"Cancers"	"Melanoma"
"ABL1"	"Cancers"	"T-cell acute lymphoblastic leukemia"
"ABL1"	"Cardiovascular diseases"	"Atrial septal defect"
"ABL1"	"Cardiovascular diseases"	"Ventricular septal defect"
"ABL1"	"Congenital malformations"	"Congenital diaphragmatic hernia"
"ABL1"	"Congenital malformations"	"Syndactyly"
"ABL1"	"Reproductive system diseases"	"Cryptorchidism"
"ABL1"	"Reproductive system diseases"	"Hypospadias"
"ABL1"	"Respiratory diseases"	"Pneumothorax"
"ABO"	"Cancers"	"Pancreatic cancer"
"ABO"	"Cancers"	"Prostate cancer"
"ABO"	"Cardiovascular diseases"	"Coronary artery disease"
"ABR"	"Cancers"	"Prostate cancer"
"ABRAXAS1"	"Cancers"	"Breast cancer"
"ABT1"	"Cancers"	"Gastric cancer"
"ACACA"	"Cancers"	"Colorectal cancer"
"ACACA"	"Cancers"	"Hepatocellular carcinoma"
"ACAD8"	"Cancers"	"Gastric cancer"
"ACAD8"	"Cardiovascular diseases"	"Dilated cardiomyopathy"
"ACAD8"	"Congenital disorders of metabolism"	"Isobutyryl-CoA dehydrogenase deficiency"
"ACAD9"	"Cardiovascular diseases"	"Dilated cardiomyopathy"
"ACAD9"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"ACAD9"	"Digestive system diseases"	"Fulminant hepatic failure"
"ACADL"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"ACADL"	"Cardiovascular diseases"	"Long QT syndrome"
"ACADM"	"Cancers"	"Breast cancer"
"ACADM"	"Congenital disorders of metabolism"	"MCAD deficiency"
"ACADM"	"Congenital malformations"	"Distal arthrogryposis"
"ACADM"	"Urinary system diseases"	"Hyperglycinuria"
"ACADS"	"Congenital disorders of metabolism"	"SCAD deficiency"
"ACADS"	"Eye disease"	"Progressive external ophthalmoplegia"
"ACADS"	"Mental and behavioural disorders"	"Bipolar disorder"
"ACADSB"	"Mental and behavioural disorders"	"Autism"
"ACADVL"	"Cardiovascular diseases"	"Dilated cardiomyopathy"
"ACADVL"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"ACADVL"	"Cardiovascular diseases"	"Long QT syndrome"
"ACADVL"	"Cardiovascular diseases"	"Ventricular septal defect"
"ACADVL"	"Congenital disorders of metabolism"	"VLCAD deficiency"
"ACAN"	"Congenital malformations"	"Brachydactyly"
"ACAN"	"Congenital malformations"	"Spondyloepimetaphyseal dysplasia"
"ACAN"	"Congenital malformations"	"Spondyloepiphyseal dysplasia congenita"
"ACAN"	"Congenital malformations"	"Spondyloepiphyseal dysplasia tarda"
"ACAN"	"Immune system diseases"	"Rheumatoid arthritis"
"ACAN"	"Musculoskeletal diseases"	"Familial osteochondritis dissecans"
"ACAP1"	"Cancers"	"Breast cancer"
"ACAP1"	"Cancers"	"Colorectal cancer"
"ACAT1"	"Cardiovascular diseases"	"High blood pressure"
"ACAT1"	"Congenital disorders of metabolism"	"Alpha-methylacetoacetic aciduria"
"ACCS"	"Cancers"	"Breast cancer"
"ACD"	"Cancers"	"Melanoma"
"ACD"	"Cardiovascular diseases"	"Aplastic anemia"
"ACD"	"Other congenital disorders"	"Dyskeratosis congenita"
"ACD"	"Other congenital disorders"	"Hoyeraal-Hreidarsson syndrome"
"ACE"	"Cancers"	"Gastric cancer"
"ACE"	"Cancers"	"Hepatocellular carcinoma"
"ACE"	"Cancers"	"Prostate cancer"
"ACE"	"Cardiovascular diseases"	"Atrial fibrillation"
"ACE"	"Cardiovascular diseases"	"Coronary artery disease"
"ACE"	"Cardiovascular diseases"	"High blood pressure"
"ACE"	"Cardiovascular diseases"	"Myocardial infarction"
"ACE"	"Congenital disorders of metabolism"	"Gaucher disease"
"ACE"	"Congenital disorders of metabolism"	"Glycogen storage disease type V"
"ACE"	"Congenital malformations"	"Renal tubular dysgenesis"
"ACE"	"Digestive system diseases"	"Celiac disease"
"ACE"	"Digestive system diseases"	"Nonalcoholic fatty liver disease"
"ACE"	"Endocrine and metabolic diseases"	"Diabetic nephropathy"
"ACE"	"Immune system diseases"	"IgA nephropathy"
"ACE"	"Mental and behavioural disorders"	"Autism"
"ACE"	"Mental and behavioural disorders"	"Bipolar disorder"
"ACE"	"Mental and behavioural disorders"	"Major depressive disorder"
"ACE"	"Mental and behavioural disorders"	"Schizophrenia"
"ACE"	"Nervous system diseases"	"Alzheimer disease"
"ACE2"	"Cardiovascular diseases"	"High blood pressure"
"ACE2"	"Endocrine and metabolic diseases"	"Diabetic nephropathy"
"ACER3"	"Cancers"	"Melanoma"
"ACHE"	"Cancers"	"Bladder cancer"
"ACHE"	"Cancers"	"Breast cancer"
"ACHE"	"Cancers"	"Prostate cancer"
"ACHE"	"Cancers"	"Renal cell carcinoma"
"ACHE"	"Mental and behavioural disorders"	"Schizophrenia"
"ACHE"	"Nervous system diseases"	"Alzheimer disease"
"ACIN1"	"Cancers"	"Colorectal cancer"
"ACKR3"	"Cancers"	"Colorectal cancer"
"ACKR3"	"Immune system diseases"	"Rheumatoid arthritis"
"ACLY"	"Cancers"	"Hepatocellular carcinoma"
"ACO2"	"Cancers"	"Breast cancer"
"ACO2"	"Cancers"	"Hepatocellular carcinoma"
"ACO2"	"Eye disease"	"Optic atrophy"
"ACOT6"	"Mental and behavioural disorders"	"Schizophrenia"
"ACOX1"	"Cancers"	"Hepatocellular carcinoma"
"ACOX1"	"Congenital disorders of metabolism"	"Peroxisomal acyl-CoA oxidase deficiency"
"ACOX1"	"Eye disease"	"Myopia"
"ACOX1"	"Eye disease"	"Optic atrophy"
"ACOX1"	"Eye disease"	"Retinitis pigmentosa"
"ACOXL"	"Cancers"	"Chronic lymphocytic leukemia"
"ACP1"	"Mental and behavioural disorders"	"Major depressive disorder"
"ACP1"	"Mental and behavioural disorders"	"Schizophrenia"
"ACP2"	"Congenital disorders of metabolism"	"Acid phosphatase deficiency"
"ACP3"	"Immune system diseases"	"Juvenile idiopathic arthritis"
"ACP4"	"Digestive system diseases"	"Amelogenesis imperfecta"
"ACP5"	"Congenital malformations"	"Spondylometaphyseal dysplasia"
"ACP5"	"Immune system diseases"	"Combined immunodeficiency"
"ACP5"	"Immune system diseases"	"Immune thrombocytopenia"
"ACP5"	"Immune system diseases"	"Juvenile idiopathic arthritis"
"ACP5"	"Skin diseases"	"Vitiligo"
"ACRBP"	"Cancers"	"Prostate cancer"
"ACRBP"	"Immune system diseases"	"Juvenile idiopathic arthritis"
"ACSF3"	"Congenital disorders of metabolism"	"Combined malonic and methylmalonic aciduria"
"ACSF3"	"Congenital disorders of metabolism"	"Malonyl-CoA decarboxylase deficiency"
"ACSF3"	"Congenital disorders of metabolism"	"Methylmalonic aciduria"
"ACSL4"	"Cancers"	"Colorectal cancer"
"ACSL4"	"Cancers"	"Hepatocellular carcinoma"
"ACSL4"	"Cancers"	"Prostate cancer"
"ACSL4"	"Cardiovascular diseases"	"Hereditary elliptocytosis"
"ACSL4"	"Cardiovascular diseases"	"Patent ductus arteriosus"
"ACSL4"	"Eye disease"	"Myopia"
"ACSL5"	"Cancers"	"Colorectal cancer"
"ACSL6"	"Cardiovascular diseases"	"Myelodysplastic syndrome"
"ACSL6"	"Mental and behavioural disorders"	"Schizophrenia"
"ACSM1"	"Mental and behavioural disorders"	"Major depressive disorder"
"ACSM1"	"Mental and behavioural disorders"	"Schizophrenia"
"ACSM3"	"Cancers"	"Prostate cancer"
"ACTA1"	"Cardiovascular diseases"	"Dilated cardiomyopathy"
"ACTA1"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"ACTA1"	"Congenital malformations"	"Congenital clubfoot"
"ACTA1"	"Congenital malformations"	"Fetal akinesia deformation sequence"
"ACTA1"	"Musculoskeletal diseases"	"Centronuclear myopathy"
"ACTA1"	"Musculoskeletal diseases"	"Congenital fiber type disproportion"
"ACTA1"	"Musculoskeletal diseases"	"Limb-girdle muscular dystrophy"
"ACTA1"	"Musculoskeletal diseases"	"Myofibrillar myopathies"
"ACTA1"	"Musculoskeletal diseases"	"Tubular aggregate myopathy"
"ACTA1"	"Reproductive system diseases"	"Cryptorchidism"
"ACTA1"	"Reproductive system diseases"	"Hypospadias"
"ACTA2"	"Cancers"	"Breast cancer"
"ACTA2"	"Cardiovascular diseases"	"High blood pressure"
"ACTA2"	"Cardiovascular diseases"	"Moyamoya disease"
"ACTA2"	"Cardiovascular diseases"	"Myocardial infarction"
"ACTA2"	"Cardiovascular diseases"	"Patent ductus arteriosus"
"ACTA2"	"Cardiovascular diseases"	"Pulmonary arterial hypertension"
"ACTA2"	"Congenital malformations"	"Bicuspid aortic valve"
"ACTA2"	"Immune system diseases"	"Systemic sclerosis"
"ACTA2"	"Reproductive system diseases"	"Cryptorchidism"
"ACTA2"	"Reproductive system diseases"	"Endometriosis"
"ACTA2"	"Respiratory diseases"	"Pneumothorax"
"ACTA2"	"Urinary system diseases"	"Focal segmental glomerulosclerosis"
"ACTB"	"Cancers"	"Esophageal cancer"
"ACTB"	"Cancers"	"Hepatocellular carcinoma"
"ACTB"	"Cardiovascular diseases"	"Patent ductus arteriosus"
"ACTB"	"Congenital malformations"	"Baraitser-Winter syndrome"
"ACTB"	"Congenital malformations"	"Bicuspid aortic valve"
"ACTB"	"Congenital malformations"	"Juvenile-onset dystonia"
"ACTB"	"Congenital malformations"	"Microphthalmia"
"ACTB"	"Congenital malformations"	"Nanophthalmos"
"ACTB"	"Congenital malformations"	"Ocular coloboma"
"ACTB"	"Congenital malformations"	"Polymicrogyria"
"ACTB"	"Congenital malformations"	"Trigonocephaly"
"ACTB"	"Eye disease"	"Cataract"
"ACTB"	"Mental and behavioural disorders"	"Bipolar disorder"
"ACTB"	"Mental and behavioural disorders"	"Schizophrenia"
"ACTB"	"Reproductive system diseases"	"Cryptorchidism"
"ACTC1"	"Cancers"	"Gastric cancer"
"ACTC1"	"Cardiovascular diseases"	"Atrial septal defect"
"ACTC1"	"Cardiovascular diseases"	"Dilated cardiomyopathy"
"ACTC1"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"ACTC1"	"Cardiovascular diseases"	"Left ventricular noncompaction"
"ACTC1"	"Cardiovascular diseases"	"Restrictive cardiomyopathy"
"ACTC1"	"Skin diseases"	"Palmoplantar keratoderma"
"ACTG1"	"Congenital malformations"	"Baraitser-Winter syndrome"
"ACTG1"	"Congenital malformations"	"Lissencephaly"
"ACTG1"	"Congenital malformations"	"Microphthalmia"
"ACTG1"	"Congenital malformations"	"Nanophthalmos"
"ACTG1"	"Congenital malformations"	"Ocular coloboma"
"ACTG1"	"Congenital malformations"	"Polymicrogyria"
"ACTG1"	"Congenital malformations"	"Trigonocephaly"
"ACTG1"	"Musculoskeletal diseases"	"Osteoporosis"
"ACTG2"	"Congenital malformations"	"Anonychia congenita"
"ACTG2"	"Congenital malformations"	"Congenital short bowel syndrome"
"ACTG2"	"Congenital malformations"	"Hirschsprung disease"
"ACTG2"	"Congenital malformations"	"Megacystis microcolon intestinal hypoperistalsis syndrome"
"ACTG2"	"Digestive system diseases"	"Chronic idiopathic intestinal pseudo-obstruction"
"ACTG2"	"Reproductive system diseases"	"Cryptorchidism"
"ACTG2"	"Urinary system diseases"	"Vesicoureteral reflux"
"ACTL6B"	"Digestive system diseases"	"Gastroesophageal reflux disease"
"ACTL6B"	"Eye disease"	"Optic atrophy"
"ACTL6B"	"Mental and behavioural disorders"	"Autism"
"ACTL6B"	"Nervous system diseases"	"West syndrome"
"ACTL9"	"Cancers"	"Colorectal cancer"
"ACTN1"	"Cardiovascular diseases"	"Macrothrombocytopenia"
"ACTN2"	"Cardiovascular diseases"	"Atrial fibrillation"
"ACTN2"	"Cardiovascular diseases"	"Dilated cardiomyopathy"
"ACTN2"	"Cardiovascular diseases"	"Left ventricular noncompaction"
"ACTN2"	"Skin diseases"	"Palmoplantar keratoderma"
"ACTN4"	"Cardiovascular diseases"	"High blood pressure"
"ACTN4"	"Endocrine and metabolic diseases"	"Hyperlipidemia"
"ACTN4"	"Urinary system diseases"	"Focal segmental glomerulosclerosis"
"ACTR2"	"Mental and behavioural disorders"	"Schizophrenia"
"ACVR1"	"Cancers"	"Breast cancer"
"ACVR1"	"Cancers"	"Glioma"
"ACVR1"	"Cancers"	"Melanoma"
"ACVR1"	"Cardiovascular diseases"	"Iron-refractory iron deficiency anemia"
"ACVR1"	"Musculoskeletal diseases"	"Fibrodysplasia ossificans progressiva"
"ACVR1"	"Nervous system diseases"	"Subependymal giant cell astrocytoma"
"ACVR2B"	"Cardiovascular diseases"	"Atrioventricular septal defect"
"ACVR2B"	"Cardiovascular diseases"	"Ventricular septal defect"
"ACVR2B"	"Congenital malformations"	"Heterotaxy"
"ACVR2B"	"Congenital malformations"	"Polysplenia syndrome"
"ACVRL1"	"Cardiovascular diseases"	"Hereditary hemorrhagic telangiectasia"
"ACVRL1"	"Cardiovascular diseases"	"High blood pressure"
"ACVRL1"	"Cardiovascular diseases"	"Iron-refractory iron deficiency anemia"
"ACVRL1"	"Cardiovascular diseases"	"Primary pulmonary hypertension"
"ACVRL1"	"Cardiovascular diseases"	"Pulmonary arterial hypertension"
"ACY1"	"Cancers"	"Breast cancer"
"ACY1"	"Cancers"	"Renal cell carcinoma"
"ACY1"	"Congenital disorders of metabolism"	"Aminoacylase 1 deficiency"
"ACY1"	"Congenital malformations"	"Syringomyelia"
"ADA"	"Cardiovascular diseases"	"Autoimmune hemolytic anemia"
"ADA"	"Immune system diseases"	"Adenosine deaminase deficiency"
"ADA"	"Immune system diseases"	"Asthma"
"ADA"	"Immune system diseases"	"Immune thrombocytopenia"
"ADA"	"Mental and behavioural disorders"	"Autism"
"ADA"	"Urinary system diseases"	"Nephrotic syndrome"
"ADA2"	"Cardiovascular diseases"	"High blood pressure"
"ADA2"	"Cardiovascular diseases"	"Polyarteritis nodosa"
"ADA2"	"Eye disease"	"Optic atrophy"
"ADA2"	"Immune system diseases"	"Combined immunodeficiency"
"ADAM10"	"Cancers"	"Breast cancer"
"ADAM10"	"Nervous system diseases"	"Alzheimer disease"
"ADAM10"	"Skin diseases"	"Dowling-Degos disease"
"ADAM12"	"Cancers"	"Breast cancer"
"ADAM12"	"Mental and behavioural disorders"	"Schizophrenia"
"ADAM17"	"Eye disease"	"Blepharitis"
"ADAM17"	"Immune system diseases"	"Immunodeficiency without anhidrotic ectodermal dysplasia"
"ADAM19"	"Cancers"	"Colorectal cancer"
"ADAM22"	"Eye disease"	"Optic atrophy"
"ADAM28"	"Cancers"	"Prostate cancer"
"ADAM29"	"Cancers"	"Colorectal cancer"
"ADAM33"	"Cancers"	"Breast cancer"
"ADAM9"	"Cancers"	"Prostate cancer"
"ADAMTS1"	"Cancers"	"Breast cancer"
"ADAMTS1"	"Cancers"	"Hepatocellular carcinoma"
"ADAMTS1"	"Cancers"	"Non-small cell lung cancer"
